Id,SalePrice
1461,116281.80441475962
1462,164254.43332697963
1463,189827.41616558196
1464,194903.58767219196
1465,193823.8158528332
1466,175023.15944781408
1467,183363.33367648727
1468,159128.33469750753
1469,191019.03574388844
1470,130953.07519906037
1471,197419.14498466722
1472,99747.01713044803
1473,101341.68537463731
1474,146823.18842648278
1475,113390.04606710307
1476,361326.5860981915
1477,260223.75604123782
1478,268785.22453166393
1479,278786.6105666421
1480,451299.0406295355
1481,320713.4920347076
1482,205184.23561955517
1483,183407.3072544527
1484,169483.35036992125
1485,181882.74382841968
1486,193084.53584273427
1487,347045.900393845
1488,239584.16074360118
1489,198963.53612668577
1490,231767.23987031035
1491,194604.5992954947
1492,88947.93053909627
1493,195144.97641246417
1494,277864.45065692667
1495,284504.9002018064
1496,243942.4237218418
1497,173051.8956103939
1498,174564.43852235307
1499,170014.1576729665
1500,163584.74488694922
1501,181251.8244836188
1502,146031.74305095823
1503,294406.4030710797
1504,242078.9316004474
1505,220931.51049979878
1506,183081.24750624778
1507,269147.9746596156
1508,204595.5203523956
1509,171011.50216947385
1510,148054.39206470986
1511,148476.35025447246
1512,180072.84724987778
1513,150953.5031711779
1514,172033.8973114589
1515,194259.86795039548
1516,147040.710580498
1517,180279.3067830594
1518,122101.35827363351
1519,227130.76301020593
1520,134773.71330659953
1521,132041.30771733727
1522,170071.6141324908
1523,116567.55058997624
1524,122364.0518402428
1525,125999.85341900507
1526,108727.87285601582
1527,108906.60200095385
1528,137732.49963909294
1529,146516.20522365862
1530,184677.119119818
1531,118096.23391725883
1532,93298.54987461673
1533,143124.9025356668
1534,121568.96828095228
1535,142978.08683981767
1536,106402.09716559494
1537,69069.31570740715
1538,172498.1702009923
1539,201355.07347409675
1540,102740.16770731917
1541,135631.35671896377
1542,140456.9832948076
1543,199809.51011292124
1544,89436.19435324034
1545,120101.705819975
1546,133646.35512474773
1547,128685.38618002563
1548,136285.80828901034
1549,112962.11558453522
1550,132277.94251497742
1551,105423.83383000505
1552,146868.81672528613
1553,144046.3759216819
1554,127034.30304515248
1555,154901.81211935094
1556,82161.54502749543
1557,102904.16723733302
1558,100427.81300603019
1559,86977.69519310958
1560,122620.03338024198
1561,142736.22968852788
1562,131479.34944403305
1563,122930.4741270703
1564,156461.07423063804
1565,157230.35283030826
1566,242842.19697644288
1567,79300.4788197964
1568,234630.51075625778
1569,138355.3509109764
1570,133297.65688558994
1571,117557.0404862251
1572,144700.94917728065
1573,250477.76540294802
1574,124792.82043676682
1575,219096.15175283313
1576,244074.62654910245
1577,185347.04290128936
1578,144709.45044954802
1579,151769.28607287037
1580,189550.70225053473
1581,150169.99185895047
1582,130217.39003452063
1583,308380.5099149636
1584,214494.7825689412
1585,142238.9678845403
1586,77663.26600856084
1587,109669.49410378675
1588,152045.97466757745
1589,102486.045402699
1590,137840.44265200887
1591,92453.94969015787
1592,109888.92155391867
1593,124624.49648638841
1594,139456.9855672661
1595,92840.78541158744
1596,209021.85148645125
1597,184363.7536168943
1598,220533.83365658406
1599,169202.15344634696
1600,162366.441762415
1601,73479.57614800578
1602,111564.57896710136
1603,100536.7191928313
1604,258120.1874761358
1605,247181.71890280308
1606,167515.12459946863
1607,167159.42814867813
1608,208898.53185965164
1609,188877.02008240073
1610,160184.54209725803
1611,136284.56074538906
1612,178741.83976584268
1613,164392.9145157974
1614,121912.5513504845
1615,96604.10847001606
1616,80197.27043371534
1617,92470.81913378302
1618,125039.86197827128
1619,152341.5684975153
1620,172814.50989675184
1621,148914.70241921977
1622,141342.54830858667
1623,270249.4619530817
1624,218788.2010936019
1625,114836.57111110412
1626,165854.38640141772
1627,190786.81224157647
1628,278210.78652794793
1629,181759.39054026824
1630,392232.30300163105
1631,212569.70868411037
1632,235860.01746215715
1633,166747.31573049212
1634,187607.94041508442
1635,180668.79982700417
1636,155153.85192705112
1637,211652.04475419392
1638,192097.30176903988
1639,179376.3325572611
1640,263675.3362794607
1641,175581.79277951637
1642,239644.50966740877
1643,215611.02406163974
1644,227797.31791470488
1645,199654.12795312394
1646,154465.56005272808
1647,152461.4629377626
1648,131757.9659759671
1649,141426.7398661141
1650,127301.49713965334
1651,125134.4609039652
1652,99658.97284897519
1653,103266.31794441126
1654,141277.2264291888
1655,135401.05868968286
1656,138951.21675297868
1657,144804.49789830687
1658,140203.53565175028
1659,123995.43500009284
1660,155387.27019479455
1661,422587.57352998917
1662,399899.40317140165
1663,387076.9034776453
1664,511453.0456073212
1665,300625.54861387145
1666,322006.2281689149
1667,363059.41981371114
1668,334843.9473953964
1669,302768.1870362291
1670,333493.2006830212
1671,257747.30818250304
1672,413274.92636442574
1673,301030.50038518844
1674,252171.77409387918
1675,197172.75837839206
1676,202735.20769850467
1677,219870.81901920482
1678,503774.37635971006
1679,379988.6803508538
1680,324512.0422505193
1681,225395.07187645178
1682,300157.15577981836
1683,182037.78781169505
1684,172618.94682298147
1685,167559.4662526188
1686,171386.3471124523
1687,164656.32274919975
1688,189188.87356946757
1689,187228.3948007648
1690,191990.4380072103
1691,180845.9827617693
1692,252525.30347969552
1693,170298.60969814495
1694,180972.4908983611
1695,159780.61892493104
1696,276686.23101640726
1697,167486.42264533055
1698,347273.88524641487
1699,316565.1010076009
1700,251106.9417883189
1701,276379.9934590421
